Date,Rain
07-02-2014,415
08-02-2014,454
09-02-2014,484
10-02-2014,515
11-02-2014,545
12-02-2014,565
13-02-2014,566
14-02-2014,568
15-02-2014,574
16-02-2014,583
17-02-2014,593
18-02-2014,598
19-02-2014,598
20-02-2014,592
21-02-2014,586
22-02-2014,580
23-02-2014,575
24-02-2014,570
25-02-2014,559
26-02-2014,549
27-02-2014,540
28-02-2014,533
01-03-2014,526
02-03-2014,515
03-03-2014,506
04-03-2014,506
05-03-2014,506
06-03-2014,506
07-03-2014,496
08-03-2014,483
09-03-2014,468
10-03-2014,452
11-03-2014,433
12-03-2014,396
13-03-2014,366
14-03-2014,342
15-03-2014,318
16-03-2014,290
17-03-2014,270
18-03-2014,251
19-03-2014,232
20-03-2014,213
21-03-2014,194
22-03-2014,175
23-03-2014,175
24-03-2014,141
25-03-2014,128
26-03-2014,122
27-03-2014,116
28-03-2014,110
29-03-2014,104
30-03-2014,100
31-03-2014,96
01-04-2014,93
02-04-2014,100
03-04-2014,106
04-04-2014,114
05-04-2014,125
06-04-2014,137
07-04-2014,150
08-04-2014,163
09-04-2014,177
10-04-2014,195
11-04-2014,212
12-04-2014,234
13-04-2014,235
14-04-2014,236
15-04-2014,232
16-04-2014,227
17-04-2014,223
18-04-2014,220
19-04-2014,220
20-04-2014,225
21-04-2014,230
22-04-2014,234
23-04-2014,242
24-04-2014,261
25-04-2014,264
26-04-2014,268
27-04-2014,268
28-04-2014,270
29-04-2014,277
30-04-2014,286
01-05-2014,294
02-05-2014,300
03-05-2014,307
04-05-2014,316
05-05-2014,338
06-05-2014,348
07-05-2014,364
08-05-2014,386
09-05-2014,401
10-05-2014,409
11-05-2014,415
12-05-2014,422
13-05-2014,425
14-05-2014,423
15-05-2014,426
16-05-2014,430
17-05-2014,433
18-05-2014,433
19-05-2014,432
20-05-2014,436
21-05-2014,444
22-05-2014,453
23-05-2014,453
24-05-2014,455
25-05-2014,454
26-05-2014,454
27-05-2014,451
28-05-2014,446
29-05-2014,440
30-05-2014,427
31-05-2014,427
01-06-2014,429
02-06-2014,428
03-06-2014,423
04-06-2014,413
05-06-2014,407
06-06-2014,395
07-06-2014,383
08-06-2014,366
09-06-2014,353
10-06-2014,336
11-06-2014,317
12-06-2014,295
13-06-2014,275
14-06-2014,255
15-06-2014,238
16-06-2014,226
17-06-2014,213
18-06-2014,199
19-06-2014,185
20-06-2014,170
21-06-2014,158
22-06-2014,149
23-06-2014,140
24-06-2014,131
25-06-2014,126
26-06-2014,121
27-06-2014,116
28-06-2014,112
29-06-2014,109
30-06-2014,106
01-07-2014,105
02-07-2014,104
03-07-2014,103
04-07-2014,102
05-07-2014,100
06-07-2014,114
07-07-2014,115
08-07-2014,112
09-07-2014,109
10-07-2014,106
11-07-2014,106
12-07-2014,104
13-07-2014,103
14-07-2014,102
15-07-2014,101
16-07-2014,100
17-07-2014,98
18-07-2014,97
19-07-2014,96
20-07-2014,95
21-07-2014,94
22-07-2014,93
23-07-2014,92
24-07-2014,91
25-07-2014,90
26-07-2014,89
27-07-2014,88
28-07-2014,86
29-07-2014,84
30-07-2014,83
31-07-2014,82
01-08-2014,81
02-08-2014,80
03-08-2014,79
04-08-2014,78
05-08-2014,76
06-08-2014,75
07-08-2014,91
08-08-2014,116
09-08-2014,141
10-08-2014,167
11-08-2014,192
12-08-2014,265
13-08-2014,307
14-08-2014,347
15-08-2014,384
16-08-2014,431
17-08-2014,454
18-08-2014,470
19-08-2014,488
20-08-2014,496
21-08-2014,511
22-08-2014,523
23-08-2014,519
24-08-2014,517
25-08-2014,556
26-08-2014,563
27-08-2014,566
28-08-2014,574
29-08-2014,578
30-08-2014,578
31-08-2014,575
01-09-2014,574
02-09-2014,596
03-09-2014,593
04-09-2014,604
05-09-2014,606
06-09-2014,626
07-09-2014,640
08-09-2014,653
09-09-2014,664
10-09-2014,671
11-09-2014,679
12-09-2014,682
13-09-2014,689
14-09-2014,685
15-09-2014,679
16-09-2014,679
17-09-2014,658
18-09-2014,635
